,unnamed: 0,unnamed: 0,mth_day,witty,witty_norm,witty_ravg
0,0,0,01-01,,,
1,1,1,01-02,9.756787433410311,-1.3722325194648468,
2,2,2,01-03,9.943776883139176,-1.2198527245026327,
3,3,3,01-04,8.887424544226302,-2.0806860658745743,
4,4,4,01-05,8.266347362406236,-2.586808811081211,-2.0004482636290284
5,5,5,01-06,8.559068254968755,-2.3482672802381086,-2.2012917967457377
6,6,6,01-07,8.5019149099705,-2.3948421806127924,-2.4942095610546997
7,7,7,01-08,8.278023595393313,-2.5772937181651066,-2.3943500031267693
8,8,8,01-09,7.7870920715790675,-2.9773593103563987,-2.1481026630070557
9,9,9,01-10,9.622667052922743,-1.4815287183069932,-1.890381715072344
10,10,10,01-11,10.079408784529805,-1.109324770362934,-1.6171447381180857
11,11,11,01-12,10.45660716095809,-0.8019415926298343,-1.2187330138983292
12,12,12,01-13,10.513694699236831,-0.7554203188872459,-0.7685909825108618
13,13,13,01-14,11.211435696224155,-0.18682337284656667,-0.4976349466285264
14,14,14,01-15,11.10138229371178,-0.2765071220315962,-0.5720359498372398
15,15,15,01-16,11.617652807940305,0.14420749698701973,-0.3270521562352888
16,16,16,01-17,9.531611644388388,-1.5557307896152148,-0.13057202286734634
17,17,17,01-18,12.26036538636368,0.6679611689818721,-0.2878815291448309
18,18,18,01-19,11.960331848088588,0.4234604813204083,-0.5661178583411725
19,19,19,01-20,10.053202689417436,-1.1306804105114745,-0.651099465950823
20,20,20,01-21,9.052793446198066,-1.945925097209645,-0.13917339985518187
21,21,21,01-22,10.991953158668172,-0.36568214867088417,-0.4638791745663298
22,22,22,01-23,13.300803226178735,1.5158256069586322,-0.7942320388528069
23,23,23,01-24,9.869632908265329,-1.2802734792850148,-0.9736471705282732
24,24,24,01-25,9.528021173647776,-1.5586567043984554,-1.0184744022246306
25,25,25,01-26,8.732211146410847,-2.207171200564272,-1.3606962470208552
26,26,26,01-27,8.722741050871686,-2.21488848738779,-1.7195329853713464
27,27,27,01-28,8.472253963922135,-2.419013217448233,-1.5722414052643334
28,28,28,01-29,10.658772466262146,-0.6371948231443136,-1.4964096567433325
29,29,29,01-30,10.954106273808376,-0.396523998642938,-1.1870164260317155
30,30,30,01-31,10.086352556024387,-1.1036662132724493,-1.056900863994634
31,31,31,02-01,11.010200953718837,-0.3508118162945693,-0.6366784351713559
32,32,32,02-02,9.680751423014883,-1.4341951151653007,-0.7908029701227759
33,33,33,02-03,11.56625316829998,0.10232135549143552,-0.7479259595129449
34,34,34,02-04,9.523989656477042,-1.561942032852834,-0.6500489928754746
35,35,35,02-05,11.269799648587062,-0.13926193498395206,-0.6227558994248196
36,36,36,02-06,10.806997709952151,-0.5164044134476272,-0.5140071646194174
37,37,37,02-07,11.21115360076769,-0.1870532555906396,-0.7092629220003124
38,38,38,02-08,10.481442856613995,-0.7817027063328875,-0.6102188319951901
39,39,39,02-09,10.128630812733752,-1.0692131887939351,-0.6399065376133336
40,40,40,02-10,10.253228066079043,-0.9676774928221008,-0.8040728348799591
41,41,41,02-11,11.051216033667812,-0.3173881686928127,-0.9308724660028628
42,42,42,02-12,9.598279758959103,-1.5014021970473788,-0.8396445375196083
43,43,43,02-13,10.277557650384335,-0.9478510423280648,-0.8500658784773524
44,44,44,02-14,11.153132701762486,-0.2343351354333598,-0.8695239939251285
45,45,45,02-15,10.051900922989171,-1.131741234540398,-0.9897276824616014
46,46,46,02-16,10.10996252482106,-1.0844261855087571,-0.9927364232321612
47,47,47,02-17,10.166184461848657,-1.0386102999116509,-1.0442461167378214
48,48,48,02-18,9.576127106192905,-1.5194546416707382,-1.034432289172085
49,49,49,02-19,9.898303855743873,-1.2569092033620255,-0.9658581482770084
50,50,50,02-20,11.225389612859106,-0.17545217003894098,-0.7477047891776364
51,51,51,02-21,10.55679624227135,-0.7202963891699378,-0.6198543310202768
52,52,52,02-22,11.71617455252238,0.2244939690874743,-0.17450233373094184
53,53,53,02-23,11.107517405275548,-0.2715075509674927,0.2090467557444396
54,54,54,02-24,12.855149430488597,1.1526573420652717,0.6239059093415441
55,55,55,02-25,12.722285862129679,1.0443853334902629,0.9161635125230708
