,unnamed: 0,unnamed: 0,mth_day,plot twist,plot twist_norm,plot twist_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.588253981824231,-0.9696269832731579,
2,2,2,01-03,5.2308100884045166,-0.13356035466143956,
3,3,3,01-04,4.2244068539168325,-1.4430493637382098,
4,4,4,01-05,3.885345870053038,-1.884221069632431,-1.1392629545061144
5,5,5,01-06,4.5753736963345135,-0.9863862619644068,-1.2871422331338518
6,6,6,01-07,4.243094577706872,-1.4187336937670405,-1.608879788801682
7,7,7,01-08,3.906341342803666,-1.8569026550395815,-1.4901535947037134
8,8,8,01-09,3.7471883958090833,-2.06398568866842,-1.3315685944367976
9,9,9,01-10,4.771886481147226,-0.7306921991503988,-1.3151642632586569
10,10,10,01-11,4.6166255803991865,-0.9327110680309374,-1.0044836006946178
11,11,11,01-12,4.6510186471948245,-0.8879602748955618,-0.7767262979514807
12,12,12,01-13,5.675729849312555,0.4453502816171943,-0.5642945636791755
13,13,13,01-14,4.956593851545935,-0.4903588385807587,-0.30638724689282953
14,14,14,01-15,4.72677042970583,-0.7893952830345886,-0.1886085282781065
15,15,15,01-16,5.961169121991148,0.8167517015676767,0.12474701926632999
16,16,16,01-17,5.15973613365801,-0.2260387563425993,0.3272543104900541
17,17,17,01-18,6.095988560225497,0.9921730103710572,0.36876921249063216
18,18,18,01-19,6.609547505584066,1.6603940289595394,0.2780966348836998
19,19,19,01-20,5.148030654893881,-0.2412694265772903,0.16606430088894647
20,20,20,01-21,4.308653860187058,-1.333430748676183,0.0554275836846444
21,21,21,01-22,5.444556752503527,0.14455769759915668,-0.3172661467404849
22,22,22,01-23,4.64955934282258,-0.8898590595684117,0.3499140828013359
23,23,23,01-24,4.377393719765212,-1.2439893721797186,0.04018539811105485
24,24,24,01-25,9.68610180887151,5.663475406210464,-0.06800015014618281
25,25,25,01-26,3.7197852190394105,-2.0996415347189767,-0.5533009523822809
26,26,26,01-27,3.8097800936893766,-1.982544038219609,-0.5317681003504858
27,27,27,01-28,3.2066992660284623,-2.7672471158174323,-0.42842146071222964
28,28,28,01-29,4.748853335131024,-0.7606619473776417,-1.52616010443897
29,29,29,01-30,4.8539539276834285,-0.6239095343501811,-1.3994301624283307
30,30,30,01-31,4.624122453515434,-0.9229564561499785,-1.2543387026800148
31,31,31,02-01,4.30417236239939,-1.339261882655141,-0.8043126268582865
32,32,32,02-02,4.478837321547413,-1.1119952797297126,-0.7810504860510165
33,33,33,02-03,5.2818951409297785,-0.06709066088706261,-0.8726831154611424
34,34,34,02-04,4.8561215607698935,-0.6210891025340217,-0.7700529336924592
35,35,35,02-05,4.431410291270722,-1.1737053108109368,-0.7141100915018583
36,36,36,02-06,5.097378874174739,-0.3071753655378789,-0.6014830511168632
37,37,37,02-07,4.562140425988174,-1.0036048295115347,-0.8515136876165498
38,38,38,02-08,4.9981920482319016,-0.4362330374197418,-0.8542699103637892
39,39,39,02-09,4.128934071916878,-1.567274479885183,-0.4724828068342631
40,40,40,02-10,4.8434118481939334,-0.6376264390174576,-0.4992077239629697
41,41,41,02-11,6.191937213823639,1.1170173103662195,-0.4573204699217687
42,42,42,02-12,4.974142820172078,-0.4675248683101186,-0.14197457064779526
43,43,43,02-13,4.755294248549508,-0.7522813052643291,0.052182947327121885
44,44,44,02-14,6.452340028758319,1.455842358224099,0.012654976504811047
45,45,45,02-15,5.024248592629752,-0.40232937203568014,-0.32358551815893205
46,46,46,02-16,4.661137339224874,-0.8747942639513226,-0.3827752272694029
47,47,47,02-17,4.641438420555075,-0.9004256576162389,-0.3036443379954154
48,48,48,02-18,4.701202546748199,-0.8226631229729437,-0.600357950833424
49,49,49,02-19,5.120188870930684,-0.27749596962040457,-0.5525851895409436
50,50,50,02-20,5.084110722791573,-0.3244393188039527,-0.3007505226255405
51,51,51,02-21,5.244542132255826,-0.11569280428079752,-0.18110265556064467
52,52,52,02-22,5.822417296137892,0.6362137375410964,-0.3446051174381907
53,53,53,02-23,5.193168139150694,-0.1825384552268644,-0.18746627089529455
54,54,54,02-24,3.9472470480474926,-1.80367789423822,-0.10077358848114777
55,55,55,02-25,5.844799962714943,0.6653371096369725,-0.08398908408005719
56,56,56,02-26,5.48387488446036,0.195716775680928,-0.23459674787132276
57,57,57,02-27,5.321940167984769,-0.014985777874254081,-0.48514672596433517
58,58,58,02-28,5.127923311411623,-0.26743224520649705,-0.2878868408900212
59,59,59,02-29,4.0378122410600215,-1.6858383237849386,-0.6949890649292513
60,60,60,03-01,4.856867449581476,-0.6201185837923362,-0.9884733649646119
61,61,61,03-02,3.9675379519597618,-1.7772762345984083,-1.0397629975212401
62,62,62,03-03,4.130536841393401,-1.5651890245312354,-1.037055869239629
63,63,63,03-04,5.085429353111716,-0.32272357321402345,-0.8705853650860701
64,64,64,03-05,5.1404066357002645,-0.25118947551683085,-0.8095177055040197
65,65,65,03-06,4.805454211320111,-0.6870152988635848,-0.8341760151754206
66,66,66,03-07,5.138467476920227,-0.2537126263000329,-0.767909888327862
67,67,67,03-08,3.853831601902837,-1.9252260926268132,-0.8682642265395422
68,68,68,03-09,4.436108452613139,-1.167592263445884,-0.8828797362253954
69,69,69,03-10,4.622667482468853,-0.9248496024841041,-0.7061021771341168
70,70,70,03-11,5.073010440148082,-0.3388825336319498,-0.8263217934546274
71,71,71,03-12,5.620624889444696,0.3736500556840861,-0.5130969344484342
72,72,72,03-13,4.584101262884731,-0.9750303242230955,-0.47397094489781705
73,73,73,03-14,5.29819887359775,-0.045876938589654005,-0.5210831223430171
74,74,74,03-15,4.616529313712389,-0.9328363261421808,-0.580314119454319
75,75,75,03-16,4.405420079385866,-1.207522667155304,-0.9428521582528125
76,76,76,03-17,4.799879776225495,-0.6942685162997606,-0.6552342987960479
